TERM_ID,TXN_CCY_CODE,TRN_AMOUNT,TRN_DT
ABI0063,USD,0,4/8/2025
ABI0067,AFN,88500,4/8/2025
ABI0067,USD,0,4/8/2025
ABI0071,AFN,14500,4/8/2025
ABI0075,AFN,35000,4/8/2025
ABI0080,AFN,312500,4/8/2025
ABI0080,USD,0,4/8/2025
ABI0081,AFN,108000,4/8/2025
ABI0081,USD,0,4/8/2025
ABI0082,AFN,66500,4/8/2025
ABI0082,USD,0,4/8/2025
ABI0087,AFN,109000,4/8/2025
ABI0087,USD,0,4/8/2025
ABI0090,USD,3500,4/8/2025
ABI0092,AFN,3000,4/8/2025
ABI0093,AFN,48000,4/8/2025
ABI0095,AFN,9000,4/8/2025
ABI0096,AFN,4000,4/8/2025
ABI0098,AFN,89000,4/8/2025
ABI0098,USD,0,4/8/2025
ABI0099,AFN,68500,4/8/2025
ABI0099,USD,0,4/8/2025
ABI0100,AFN,113000,4/8/2025
ABI0100,USD,1500,4/8/2025
ABI0101,AFN,20500,4/8/2025
ABI0101,USD,3900,4/8/2025
ABI0103,AFN,127500,4/8/2025
ABI0105,AFN,161500,4/8/2025
ABI0105,USD,0,4/8/2025
ABI0109,AFN,15000,4/8/2025
ABI0110,AFN,27000,4/8/2025
ABI0111,AFN,86000,4/8/2025
ABI0113,AFN,122500,4/8/2025
ABI0113,USD,2200,4/8/2025
ABI0115,AFN,30000,4/8/2025
ABI0116,AFN,72500,4/8/2025
ABI0116,USD,0,4/8/2025
ABI0119,AFN,48000,4/8/2025
ABI0120,AFN,60000,4/8/2025
ABI0121,AFN,52500,4/8/2025
ABI0121,USD,0,4/8/2025
ABI0123,AFN,60000,4/8/2025
ABI0123,USD,1100,4/8/2025
ABI0125,AFN,10500,4/8/2025
ABI0004,AFN,367000,4/9/2025
ABI0004,USD,0,4/9/2025
ABI0007,AFN,37500,4/9/2025
ABI0010,AFN,200500,4/9/2025
ABI0010,USD,0,4/9/2025
ABI0011,AFN,119000,4/9/2025
ABI0019,AFN,201500,4/9/2025
ABI0019,USD,0,4/9/2025
ABI0021,AFN,500000,4/9/2025
ABI0021,USD,0,4/9/2025
ABI0026,AFN,6000,4/9/2025
ABI0030,AFN,47500,4/9/2025
ABI0031,AFN,50000,4/9/2025
ABI0031,USD,0,4/9/2025
ABI0032,AFN,27000,4/9/2025
ABI0034,AFN,21000,4/9/2025
ABI0034,USD,5100,4/9/2025
ABI0040,USD,11550,4/9/2025
ABI0041,AFN,107500,4/9/2025
ABI0042,AFN,91000,4/9/2025
ABI0042,USD,0,4/9/2025
ABI0043,AFN,36000,4/9/2025
ABI0043,USD,12950,4/9/2025
ABI0044,AFN,192000,4/9/2025
